Place,Year,Occurrences
אבו גוש,0,1
אבו גוש,2009,2
אבו גוש,2014,1
אדום,0,9
אדום,1958,3
אדום,1969,1
אדום,1977,1
אדום,1981,1
אדום,1985,1
אדום,1990,1
אדום,1993,1
אדום,1994,3
אדום,1998,1
אדום,1999,1
אדום,2000,1
אדום,2006,1
אדום,2007,3
אדום,2008,1
אדום,2012,1
אדום,2015,2
אוגנדה,0,5
אוגנדה,1973,1
אוגנדה,1975,2
אוגנדה,2002,3
אוגנדה,2010,1
אוגנדה,2015,1
אודסה,2013,1
אוהיו,0,5
אוהיו,1989,1
אוהיו,1992,1
אוהיו,2004,2
אוזבקיסטן,0,1
אוסטרליה,0,14
אוסטרליה,1950,1
אוסטרליה,1965,1
אוסטרליה,1969,3
אוסטרליה,1971,1
אוסטרליה,1976,1
אוסטרליה,1988,2
אוסטרליה,1990,2
אוסטרליה,1991,1
אוסטרליה,1996,1
אוסטרליה,1999,1
אוסטרליה,2000,2
אוסטרליה,2001,2
אוסטרליה,2003,1
אוסטרליה,2009,1
אוסטרליה,2010,2
אוסטרליה,2011,1
אוסטרליה,2012,1
אוסלו,0,3
אוסלו,2005,1
אוסלו,2011,1
אוקלהומה,2015,1
אוקראינה,0,2
אוקראינה,1966,1
אוקראינה,1986,2
אוקראינה,1994,1
אוקראינה,2007,1
אור יהודה,2015,2
אור עקיבא,1992,1
אור עקיבא,1999,1
אורוגוואי,0,2
אורוגוואי,1991,1
אורוגוואי,1999,1
אושוויץ,0,1
אושוויץ,2003,1
אטאלנטה,0,1
אטאלנטה,2017,1
איטליה,0,17
איטליה,1968,1
איטליה,1975,1
איטליה,1992,2
איטליה,2000,1
איטליה,2002,1
איטליה,2011,2
איטליה,2012,2
איטליה,2014,1
איטליה,2015,1
איידהו,0,3
איידהו,2008,1
אילינוי,0,3
אילת,0,95
אילת,1949,1
אילת,1950,8
אילת,1952,1
אילת,1953,1
אילת,1954,1
אילת,1955,2
אילת,1956,5
אילת,1957,5
אילת,1958,4
אילת,1959,2
אילת,1960,4
אילת,1961,2
אילת,1962,1
אילת,1963,3
אילת,1965,5
אילת,1967,6
אילת,1968,4
אילת,1969,1
אילת,1970,1
אילת,1971,2
אילת,1972,5
אילת,1973,1
אילת,1974,1
אילת,1975,4
אילת,1976,2
אילת,1977,1
אילת,1978,4
אילת,1981,1
אילת,1982,3
אילת,1984,2
אילת,1985,2
אילת,1986,1
אילת,1987,1
אילת,1990,2
אילת,1991,3
אילת,1992,4
אילת,1994,1
אילת,1995,1
אילת,1996,5
אילת,1998,2
אילת,1999,4
אילת,2000,7
אילת,2001,2
אילת,2002,2
אילת,2004,3
אילת,2005,3
אילת,2006,2
אילת,2007,3
אילת,2008,2
אילת,2009,2
אילת,2010,6
אילת,2011,1
אילת,2014,3
אילת,2015,9
אילת,2016,8
אילת,2017,4
אילת,2018,1
אילת,2019,1
אינדונזיה,1950,1
אינדונזיה,1965,1
אינדונזיה,1969,1
אינדונזיה,1971,1
אינדונזיה,2015,2
אינדיאנה,0,1
אינדיאנה,2017,1
איסטנבול,0,13
איסטנבול,1958,2
איסטנבול,1961,1
איסטנבול,1968,1
איסטנבול,1973,1
איסטנבול,1985,2
איסטנבול,1991,1
איסטנבול,1992,2
איסטנבול,1995,1
איסטנבול,1997,1
איסטנבול,2003,2
איסטנבול,2004,1
איסטנבול,2007,1
איסטנבול,2013,1
איסטנבול,2014,1
איסטנבול,2015,1
איסטנבול,2033,1
איסלנד,0,1
איסלנד,2006,2
איסלנד,2007,1
איסלנד,2013,1
איראן,0,17
איראן,1950,1
איראן,1969,1
איראן,1971,1
איראן,1995,2
איראן,1998,2
איראן,2008,2
איראן,2010,1
איראן,2013,1
איראן,2015,3
אירופה,0,54
אירופה,1970,1
אירופה,1973,1
אירופה,1980,2
אירופה,1984,1
אירופה,1985,2
אירופה,1986,1
אירופה,1987,1
אירופה,1990,2
אירופה,1991,2
אירופה,1994,3
אירופה,1995,6
אירופה,1997,1
אירופה,1998,1
אירופה,1999,1
אירופה,2000,3
אירופה,2001,1
אירופה,2002,1
אירופה,2003,1
אירופה,2006,2
אירופה,2007,1
אירופה,2008,5
אירופה,2009,2
אירופה,2010,1
אירופה,2013,1
אירופה,2014,2
אירופה,2015,4
אירופה,2016,3
אירופה,2017,1
אירופה,2018,3
אירלנד,0,5
אירלנד,1972,1
אירלנד,1973,1
אירן,2008,1
אירן,2013,1
אלבניה,1993,1
אלבניה,1997,2
אלכסנדריה,0,2
אלסקה,0,4
אלסקה,1990,2
אלסקה,2013,1
אלסקה,2018,2
אלפים,0,4
אלפים,1976,1
אמסטרדם,0,32
אמסטרדם,1958,2
אמסטרדם,1961,1
אמסטרדם,1964,1
אמסטרדם,1965,1
אמסטרדם,1971,3
אמסטרדם,1972,1
אמסטרדם,1975,1
אמסטרדם,1981,5
אמסטרדם,1985,3
אמסטרדם,1987,3
אמסטרדם,1990,2
אמסטרדם,1993,2
אמסטרדם,1995,5
אמסטרדם,1997,1
אמסטרדם,1998,3
אמסטרדם,1999,1
אמסטרדם,2000,5
אמסטרדם,2003,3
אמסטרדם,2004,1
אמסטרדם,2006,4
אמסטרדם,2007,1
אמסטרדם,2008,2
אמסטרדם,2012,1
אמסטרדם,2013,1
אמסטרדם,2014,2
אמסטרדם,2015,4
אמסטרדם,2017,2
אמסטרדם,2018,1
אמריקה,0,54
אמריקה,1950,1
אמריקה,1957,1
אמריקה,1966,1
אמריקה,1969,3
אמריקה,1970,3
אמריקה,1971,1
אמריקה,1972,1
אמריקה,1974,1
אמריקה,1979,1
אמריקה,1980,3
אמריקה,1982,1
אמריקה,1983,2
אמריקה,1984,1
אמריקה,1986,2
אמריקה,1987,1
אמריקה,1988,6
אמריקה,1990,1
אמריקה,1993,1
אמריקה,1994,2
אמריקה,1995,1
אמריקה,1996,2
אמריקה,1998,1
אמריקה,2000,3
אמריקה,2001,1
אמריקה,2002,1
אמריקה,2003,1
אמריקה,2005,4
אמריקה,2006,3
אמריקה,2008,1
אמריקה,2009,2
אמריקה,2010,2
אמריקה,2011,1
אמריקה,2012,1
אמריקה,2013,2
אמריקה,2014,1
אמריקה,2015,6
אמריקה,2016,1
אמריקה,2017,4
אמריקה,2018,1
אמריקה,2019,1
אנגליה,0,1
אסיה,0,10
אסיה,1969,2
אסיה,1970,1
אסיה,1985,2
אסיה,1987,1
אסיה,1997,1
אסיה,2007,1
אסיה,2012,1
אסיה,2015,1
אסיה,2016,1
אפגניסטן,0,5
אפגניסטן,2015,1
אפגניסטן,2016,1
אפריקה,0,28
אפריקה,1974,2
אפריקה,1975,4
אפריקה,1978,1
אפריקה,1979,1
אפריקה,1980,2
אפריקה,1985,2
אפריקה,1986,2
אפריקה,1989,4
אפריקה,1990,5
אפריקה,1993,1
אפריקה,1995,3
אפריקה,1997,1
אפריקה,2001,1
אפריקה,2003,1
אפריקה,2006,1
אפריקה,2007,5
אפריקה,2010,2
אפריקה,2011,1
אפריקה,2012,1
אפריקה,2013,1
אפריקה,2015,2
אפריקה,2017,1
אפריקה,2018,1
אקוודור,0,1
אקוודור,1999,1
ארגנטינה,0,18
ארגנטינה,1972,1
ארגנטינה,1975,1
ארגנטינה,1990,1
ארגנטינה,1992,1
ארגנטינה,1995,2
ארגנטינה,1999,2
ארגנטינה,2002,1
ארגנטינה,2006,1
ארגנטינה,2010,1
ארגנטינה,2012,1
ארגנטינה,2013,1
ארגנטינה,2018,1
"ארה""ב",0,2
"ארה""ב",1968,1
"ארה""ב",1980,1
"ארה""ב",2005,1
"ארה""ב",2013,1
ארובה,0,2
אריזונה,0,2
אריזונה,2011,1
אריזונה,2012,1
ארמניה,1969,2
ארץ ישראל,0,98
ארץ ישראל,1934,2
ארץ ישראל,1948,3
ארץ ישראל,1950,1
ארץ ישראל,1955,2
ארץ ישראל,1958,2
ארץ ישראל,1960,1
ארץ ישראל,1963,2
ארץ ישראל,1964,1
ארץ ישראל,1965,3
ארץ ישראל,1966,3
ארץ ישראל,1967,2
ארץ ישראל,1968,4
ארץ ישראל,1969,1
ארץ ישראל,1970,3
ארץ ישראל,1971,2
ארץ ישראל,1972,4
ארץ ישראל,1973,4
ארץ ישראל,1974,2
ארץ ישראל,1975,1
ארץ ישראל,1976,7
ארץ ישראל,1977,1
ארץ ישראל,1979,3
ארץ ישראל,1980,1
ארץ ישראל,1981,6
ארץ ישראל,1982,3
ארץ ישראל,1983,5
ארץ ישראל,1984,2
ארץ ישראל,1985,7
ארץ ישראל,1986,1
ארץ ישראל,1987,3
ארץ ישראל,1988,8
ארץ ישראל,1990,3
ארץ ישראל,1991,2
ארץ ישראל,1992,2
ארץ ישראל,1993,1
ארץ ישראל,1994,1
ארץ ישראל,1995,1
ארץ ישראל,1996,3
ארץ ישראל,1997,2
ארץ ישראל,1998,4
ארץ ישראל,2000,14
ארץ ישראל,2001,1
ארץ ישראל,2003,1
ארץ ישראל,2004,6
ארץ ישראל,2005,1
ארץ ישראל,2006,1
ארץ ישראל,2007,5
ארץ ישראל,2008,3
ארץ ישראל,2009,1
ארץ ישראל,2010,4
ארץ ישראל,2011,2
ארץ ישראל,2012,1
ארץ ישראל,2013,1
ארץ ישראל,2014,2
ארץ ישראל,2015,5
ארץ ישראל,2016,2
ארץ ישראל,2017,4
ארץ ישראל,2018,2
ארקנסו,0,2
אררט,0,1
אררט,1959,1
אררט,1974,2
אררט,1975,1
אררט,1978,1
אררט,2015,1
אשדוד,0,20
אשדוד,1959,1
אשדוד,1968,1
אשדוד,1971,1
אשדוד,1981,2
אשדוד,1983,1
אשדוד,1986,1
אשדוד,1993,1
אשדוד,1995,1
אשדוד,2004,1
אשדוד,2005,2
אשדוד,2006,3
אשדוד,2007,1
אשדוד,2011,1
אשדוד,2014,1
אשדוד,2015,1
אשכול,0,3
אשכול,1998,1
אשכול,2004,1
אשקלון,0,5
אשקלון,1956,3
אשקלון,1965,2
אשקלון,1968,1
אשקלון,1975,1
אשקלון,1984,1
אשקלון,1989,1
אשקלון,1998,1
אשקלון,2000,1
אשקלון,2008,1
אשקלון,2010,1
אשקלון,2012,1
אשקלון,2014,1
אשקלון,2017,1
אתונה,0,4
אתונה,1987,2
אתונה,1990,1
אתונה,1993,1
אתונה,1996,2
אתונה,1998,1
אתונה,1999,2
אתונה,2008,1
אתונה,2010,1
אתונה,2011,1
אתונה,2015,1
אתיופיה,0,8
אתיופיה,1987,2
אתיופיה,1991,1
אתיופיה,1999,2
אתיופיה,2003,1
אתיופיה,2010,1
אתיופיה,2015,2
אתיופיה,2018,1
באזל,0,2
באקו,0,1
באר יעקב,1973,3
באר שבע,0,6
באר שבע,1966,1
באר שבע,1986,2
באר שבע,1992,1
באר שבע,2004,2
באר שבע,2010,1
באר שבע,2015,1
באר שבע,2017,1
בבל,0,29
בבל,1949,1
בבל,1959,1
בבל,1963,1
בבל,1967,1
בבל,1968,1
בבל,1971,1
בבל,1972,1
בבל,1973,1
בבל,1974,1
בבל,1977,1
בבל,1982,1
בבל,1985,1
בבל,1992,1
בבל,1995,2
בבל,2001,1
בבל,2002,5
בבל,2003,1
בבל,2005,1
בבל,2006,1
בבל,2008,4
בבל,2011,1
בבל,2013,2
בבל,2014,1
בבל,2015,1
בבל,2017,2
בגדאד,0,12
בגדאד,1964,1
בגדאד,1966,3
בגדאד,1967,2
בגדאד,1968,1
בגדאד,1970,2
בגדאד,1971,2
בגדאד,1984,1
בגדאד,1989,3
בגדאד,1991,1
בגדאד,1992,1
בגדאד,1997,2
בגדאד,2000,4
בגדאד,2017,1
בואנוס איירס,0,1
בואנוס איירס,2016,2
בואנוס איירס,2018,1
בוגוטה,0,1
בודפשט,2010,2
בוכרה,0,1
בוכרה,1955,1
בולגריה,0,2
בוליביה,1980,1
בוליביה,1983,1
בוליביה,1993,1
בוליביה,2008,1
בון,0,9
בון,1962,1
בון,1971,1
בון,1988,1
בון,1989,1
בון,2000,3
בון,2003,2
בון,2008,1
בון,2010,2
בון,2015,1
בון,2016,1
בוסטון,0,2
בוסטון,1983,2
בוסטון,1985,2
בוסטון,1998,1
בוסטון,2000,1
בוסניה,2003,1
בוקרשט,0,3
בוקרשט,2003,2
בוקרשט,2015,1
בייג'ינג,2012,1
בייג'ינג,2014,1
בירות,0,2
בירות,1970,2
בירות,1977,2
בירות,1987,1
בירות,1992,1
בירות,1997,1
בירות,1998,1
בירות,2004,1
בירות,2005,1
בירות,2008,1
בירות,2016,1
בירות,2017,1
בירקנאו,0,3
בית אלפא,1999,1
בית דגן,0,1
בית דגן,2000,1
בית דגן,2004,1
בית דגן,2017,1
בית זית,0,1
בית זית,2016,1
בית ינאי,0,1
בית לחם,0,21
בית לחם,1967,3
בית לחם,1968,2
בית לחם,1969,1
בית לחם,1971,1
בית לחם,1973,1
בית לחם,1975,1
בית לחם,1984,1
בית לחם,1987,2
בית לחם,1993,1
בית לחם,2000,2
בית לחם,2001,1
בית לחם,2004,1
בית לחם,2005,1
בית לחם,2010,1
בית לחם,2015,1
בית לחם,2017,1
בית שמש,0,2
בית שמש,1991,1
בית שמש,2006,1
בית שמש,2007,1
בית שערים,0,1
בלגיה,2011,1
בלומפילד,0,5
בלומפילד,1964,1
בלומפילד,1967,1
בלומפילד,1969,1
בנגקוק,0,14
בנגקוק,1994,1
בנגקוק,1999,2
בנגקוק,2009,1
בנגקוק,2010,1
בנגקוק,2013,1
בנגקוק,2015,3
בנגקוק,2016,2
בנגקוק,2017,1
בנימינה,0,6
בנימינה,1975,2
בנימינה,1983,1
בנימינה,1987,2
בנימינה,2000,1
בנימינה,2001,1
בנימינה,2003,1
בנימינה,2008,2
בנימינה,2012,1
בנימינה,2017,2
בצרה,0,1
בצרה,2007,3
בקעה,1978,1
ברוקלין,0,8
ברוקלין,1968,1
ברוקלין,1992,1
ברוקלין,1995,1
ברוקלין,2004,1
ברוקלין,2007,3
ברוקלין,2009,1
ברוקלין,2017,1
ברזיל,0,22
ברזיל,1962,1
ברזיל,1971,1
ברזיל,1974,1
ברזיל,1978,1
ברזיל,1980,1
ברזיל,1983,2
ברזיל,1988,1
ברזיל,1990,1
ברזיל,1992,1
ברזיל,1993,2
ברזיל,1994,2
ברזיל,1995,2
ברזיל,1997,1
ברזיל,1999,2
ברזיל,2000,3
ברזיל,2001,1
ברזיל,2002,2
ברזיל,2004,2
ברזיל,2005,1
ברזיל,2008,2
ברזיל,2009,1
ברזיל,2012,1
ברזיל,2013,2
ברזיליה,0,1
ברזיליה,1991,1
ברזיליה,2010,1
בריטניה,0,7
בריטניה,1965,1
בריטניה,1970,1
בריטניה,1992,1
בריטניה,2004,2
בריטניה,2015,1
בריסל,0,7
בריסל,1968,1
בריסל,1992,1
בריסל,2000,1
בריסל,2007,1
בריסל,2018,1
ברלין,0,12
ברלין,1988,1
ברלין,1989,3
ברלין,1990,2
ברלין,1991,3
ברלין,1998,1
ברלין,2000,1
ברלין,2007,3
ברלין,2008,2
ברלין,2010,1
ברלין,2012,2
ברלין,2014,2
ברלין,2015,2
ברלין,2016,1
ברלין,2017,3
ברמודה,0,1
ברמודה,1988,1
ברמודה,2015,2
ברצלונה,0,5
ברצלונה,1963,1
ברצלונה,1976,1
ברצלונה,1985,1
ברצלונה,1995,1
ברצלונה,1996,4
ברצלונה,1998,1
ברצלונה,2000,1
ברצלונה,2002,2
ברצלונה,2004,1
ברצלונה,2009,1
ברצלונה,2010,1
ברצלונה,2014,1
ברצלונה,2015,1
ברצלונה,2017,1
ברצלונה,2018,1
בת ים,0,22
בת ים,1974,1
בת ים,1980,1
בת ים,1982,1
בת ים,1986,1
בת ים,1991,3
בת ים,1992,2
בת ים,1997,2
בת ים,1998,1
בת ים,2000,1
בת ים,2002,1
בת ים,2003,1
בת ים,2004,1
בת ים,2005,1
בת ים,2007,1
בת ים,2009,1
בת ים,2014,1
בת ים,2015,2
בת ים,2016,5
בת ים,2017,1
ג'בליה,1978,1
ג'ורג'יה,0,1
ג'יבוטי,1950,1
ג'יבוטי,1969,1
ג'יבוטי,1971,1
ג'לג'וליה,0,1
ג'לג'וליה,1994,1
ג'לג'וליה,2000,1
ג'נין,0,6
ג'נין,1960,1
ג'נין,1967,2
ג'נין,1982,1
ג'נין,1986,1
ג'נין,2002,1
ג'נין,2003,3
ג'נין,2007,3
ג'נין,2013,1
גאנה,1968,1
גבעתיים,0,22
גבעתיים,1969,1
גבעתיים,1973,2
גבעתיים,1977,1
גבעתיים,1978,3
גבעתיים,1991,3
גבעתיים,1992,1
גבעתיים,1994,1
גבעתיים,1997,1
גבעתיים,1999,2
גבעתיים,2000,2
גבעתיים,2003,1
גבעתיים,2005,1
גבעתיים,2008,2
גבעתיים,2009,4
גבעתיים,2010,1
גבעתיים,2011,3
גבעתיים,2015,3
גבעתיים,2017,2
גבעתיים,2018,1
גדרה,0,3
גדרה,1965,2
גדרה,1968,3
גדרה,1999,2
גדרה,2010,2
גואטמאלה,0,2
גואטמאלה,2001,1
גואטמאלה,2006,7
גולן,0,31
גולן,1950,1
גולן,1955,1
גולן,1956,1
גולן,1962,4
גולן,1964,1
גולן,1965,1
גולן,1967,8
גולן,1968,9
גולן,1969,3
גולן,1970,4
גולן,1971,1
גולן,1972,1
גולן,1974,1
גולן,1975,4
גולן,1977,2
גולן,1978,2
גולן,1985,1
גולן,1990,2
גולן,1991,2
גולן,1992,2
גולן,1994,1
גולן,1998,1
גולן,1999,1
גולן,2000,2
גולן,2001,1
גולן,2002,1
גולן,2003,1
גולן,2004,1
גולן,2005,1
גולן,2007,1
גולן,2008,1
גולן,2010,1
גולן,2011,1
גולן,2013,1
גולן,2015,6
גולן,2018,1
גומל,0,1
גומל,1990,4
גומל,2017,1
גוש חלב,1969,1
גוש חלב,2004,2
גוש עציון,1970,1
גוש עציון,2019,1
גוש קטיף,0,4
גזר,0,1
גלבוע,1973,1
גלגל,0,1
גלגל,1960,1
גליל,0,51
גליל,1934,1
גליל,1937,2
גליל,1947,3
גליל,1950,1
גליל,1951,4
גליל,1952,1
גליל,1954,1
גליל,1956,5
גליל,1957,2
גליל,1958,4
גליל,1959,2
גליל,1960,4
גליל,1961,1
גליל,1962,2
גליל,1963,1
גליל,1964,3
גליל,1965,3
גליל,1966,1
גליל,1967,3
גליל,1968,5
גליל,1969,2
גליל,1971,2
גליל,1972,4
גליל,1973,3
גליל,1974,2
גליל,1975,1
גליל,1976,2
גליל,1977,2
גליל,1979,3
גליל,1980,2
גליל,1981,2
גליל,1983,1
גליל,1984,1
גליל,1987,1
גליל,1988,1
גליל,1990,6
גליל,1992,3
גליל,1996,1
גליל,1997,2
גליל,1998,8
גליל,1999,1
גליל,2000,7
גליל,2001,3
גליל,2002,1
גליל,2003,1
גליל,2004,1
גליל,2005,1
גליל,2006,3
גליל,2007,3
גליל,2008,6
גליל,2010,6
גליל,2011,2
גליל,2013,2
גליל,2014,1
גליל,2015,3
גליל,2016,2
גליל,2018,1
גליל,2019,1
גן יבנה,0,1
גן יבנה,2016,1
גרוזיה,1969,2
גרוזיה,1999,2
גרמניה,0,8
גרמניה,2006,1
גרמניה,2010,1
גרמניה,2013,1
גת,0,4
גת,1950,1
גת,1952,2
גת,1970,2
גת,1986,1
גת,1994,1
גת,1997,1
גת,1998,1
דאלאס,1960,1
דאלאס,1981,2
דאלאס,1982,1
דאלאס,1986,1
דאלאס,1996,4
דבלין,0,2
דגניה,0,1
דילי,1975,1
דימונה,0,15
דימונה,1955,1
דימונה,1957,1
דימונה,1966,3
דימונה,1970,1
דימונה,1986,2
דימונה,1987,1
דימונה,1989,1
דימונה,1992,1
דימונה,1999,2
דימונה,2004,1
דימונה,2005,2
דימונה,2007,1
דימונה,2009,1
דימונה,2013,1
דימונה,2014,1
דימונה,2015,2
דלהי,0,1
דלהי,1992,2
דלהי,2007,1
דלהי,2011,2
דלוור,0,2
דמשק,0,22
דמשק,1955,1
דמשק,1964,1
דמשק,1967,7
דמשק,1968,2
דמשק,1969,1
דמשק,1970,1
דמשק,1971,2
דמשק,1972,1
דמשק,1973,2
דמשק,1980,2
דמשק,1985,1
דמשק,1988,1
דמשק,1999,2
דמשק,2000,3
דמשק,2003,1
דמשק,2004,1
דמשק,2010,2
דמשק,2015,1
דמשק,2017,2
דמשק,2018,1
דנוור,0,1
דרום אפריקה,0,1
האג,1987,1
האג,1998,1
הודו,0,60
הודו,1953,1
הודו,1968,1
הודו,1969,3
הודו,1970,1
הודו,1971,1
הודו,1975,1
הודו,1978,1
הודו,1979,1
הודו,1984,1
הודו,1986,2
הודו,1987,1
הודו,1988,1
הודו,1990,2
הודו,1992,6
הודו,1993,4
הודו,1994,1
הודו,1995,2
הודו,1997,1
הודו,1998,7
הודו,1999,3
הודו,2000,6
הודו,2001,5
הודו,2002,2
הודו,2003,3
הודו,2004,5
הודו,2006,3
הודו,2007,4
הודו,2008,3
הודו,2010,3
הודו,2011,2
הודו,2012,3
הודו,2015,4
הודו,2016,2
הודו,2017,3
הודו,2018,1
הודו,2019,2
הוואי,0,1
הוואי,1992,1
הוואי,2000,2
הוואנה,0,6
הוואנה,1949,1
הוואנה,1968,1
הוואנה,1984,1
הוואנה,2000,1
הוואנה,2006,2
הוואנה,2008,2
הוואנה,2010,1
הוואנה,2017,1
הוליווד,0,22
הוליווד,1967,1
הוליווד,1968,2
הוליווד,1979,1
הוליווד,1982,2
הוליווד,1990,1
הוליווד,2000,2
הוליווד,2001,1
הוליווד,2003,1
הוליווד,2005,1
הוליווד,2008,1
הוליווד,2009,1
הוליווד,2010,1
הוליווד,2016,1
הוליווד,2017,1
הולנד,0,11
הולנד,2011,1
הונג קונג,2006,1
הונג קונג,2010,1
הונגריה,0,3
הונגריה,1990,1
הונגריה,2000,1
הונגריה,2015,1
הונגריה,2016,1
הונדורס,0,1
הונדורס,1950,1
הונדורס,1969,1
הונדורס,1970,1
הונדורס,1971,1
הירקון,1968,1
הקוטב הצפוני,1977,1
הר הבית,0,2
הר נפתלי,0,2
הרצליה,0,26
הרצליה,1966,1
הרצליה,1967,1
הרצליה,1973,2
הרצליה,1974,2
