Place,Year,Occurrences
הרצליה,1975,1
הרצליה,1981,2
הרצליה,1994,1
הרצליה,1998,2
הרצליה,2000,1
הרצליה,2003,3
הרצליה,2004,2
הרצליה,2005,2
הרצליה,2007,3
הרצליה,2008,1
הרצליה,2013,1
הרצליה,2015,2
הרצליה,2017,1
ואטיקאן,0,1
וויומינג,0,2
ויאטנם,1990,1
וייטנאם,0,3
וינה,0,11
וינה,1959,2
וינה,1987,1
וינה,1990,4
וינה,1998,1
וינה,2000,1
וינה,2014,1
וינה,2015,1
וינה,2017,1
ויקטוריה,0,6
ויקטוריה,1994,2
וירג'יניה,0,2
וירג'יניה,2006,1
ולטה,0,1
ולטה,1973,1
ונצואלה,1959,3
ונצואלה,1986,1
ונציה,0,2
ונציה,1964,1
ונציה,1966,2
ונציה,1969,1
ונציה,1972,1
ונציה,1975,1
ונציה,1992,2
ונציה,1993,1
ונציה,1998,1
ונציה,2004,1
ונציה,2005,1
ונציה,2014,1
ורסאי,0,4
ורסאי,1987,3
ורשה,0,6
ורשה,1958,2
ורשה,1970,1
ורשה,1984,1
ורשה,1988,1
ורשה,1991,1
ורשה,1992,1
ורשה,1993,1
ורשה,1995,1
ורשה,2003,1
ורשה,2012,1
ז'נבה,1958,1
ז'נבה,1963,2
ז'נבה,2000,2
ז'נבה,2006,1
זאיר,2010,1
זימבבואה,1998,1
זמביה,1983,1
זמביה,2011,1
חבל קטיף,0,1
חבל קטיף,1987,1
חברון,0,10
חברון,1956,1
חברון,1958,2
חברון,1960,1
חברון,1967,1
חברון,1968,1
חברון,1973,1
חברון,1988,1
חברון,1991,1
חברון,1992,2
חברון,1993,2
חברון,2000,2
חברון,2003,1
חברון,2004,1
חברון,2008,1
חברון,2009,1
חברון,2010,1
חברון,2011,2
חברון,2014,1
חברון,2015,1
חברון,2017,1
חבש,0,1
חדרה,0,15
חדרה,1958,1
חדרה,1965,2
חדרה,1966,1
חדרה,1968,3
חדרה,1989,1
חדרה,1992,1
חדרה,1999,2
חדרה,2004,1
חדרה,2006,1
חדרה,2007,1
חדרה,2008,2
חדרה,2010,1
חדרה,2011,1
חדרה,2015,3
חדרה,2017,1
חולון,0,18
חולון,1975,1
חולון,1981,2
חולון,1984,1
חולון,1986,1
חולון,1991,1
חולון,1993,1
חולון,1994,1
חולון,1996,1
חולון,1998,3
חולון,2000,4
חולון,2002,1
חולון,2009,2
חולון,2011,1
חולון,2013,2
חולון,2014,1
חולון,2017,1
חולון,2018,1
חיפה,0,80
חיפה,1957,1
חיפה,1958,3
חיפה,1959,1
חיפה,1960,1
חיפה,1961,1
חיפה,1962,1
חיפה,1963,3
חיפה,1964,2
חיפה,1965,3
חיפה,1967,2
חיפה,1968,4
חיפה,1969,1
חיפה,1970,1
חיפה,1971,3
חיפה,1973,1
חיפה,1975,2
חיפה,1976,1
חיפה,1979,2
חיפה,1981,4
חיפה,1982,3
חיפה,1985,1
חיפה,1986,1
חיפה,1988,5
חיפה,1990,1
חיפה,1991,2
חיפה,1992,3
חיפה,1994,1
חיפה,1996,1
חיפה,1997,3
חיפה,1998,2
חיפה,1999,2
חיפה,2000,14
חיפה,2001,3
חיפה,2002,4
חיפה,2003,3
חיפה,2004,2
חיפה,2005,3
חיפה,2006,1
חיפה,2007,4
חיפה,2008,4
חיפה,2009,1
חיפה,2011,2
חיפה,2012,1
חיפה,2013,1
חיפה,2014,1
חיפה,2015,3
חיפה,2016,2
חיפה,2017,3
חיפה,2019,1
חצור,1967,1
חצור,1973,1
חצור,1987,1
חצור,2008,1
חרמון,0,35
חרמון,1948,1
חרמון,1956,1
חרמון,1957,1
חרמון,1960,5
חרמון,1961,2
חרמון,1962,2
חרמון,1967,9
חרמון,1968,6
חרמון,1969,2
חרמון,1970,4
חרמון,1971,1
חרמון,1972,3
חרמון,1973,3
חרמון,1974,4
חרמון,1976,1
חרמון,1978,1
חרמון,1987,1
חרמון,1989,1
חרמון,1990,2
חרמון,1991,1
חרמון,1994,2
חרמון,1996,1
חרמון,1999,1
חרמון,2000,5
חרמון,2001,2
חרמון,2003,1
חרמון,2004,2
חרמון,2006,2
חרמון,2008,2
חרמון,2012,1
חרמון,2013,1
חרמון,2015,1
טאבה,0,2
טבריה,0,30
טבריה,1954,1
טבריה,1964,1
טבריה,1965,2
טבריה,1966,1
טבריה,1967,3
טבריה,1968,4
טבריה,1971,1
טבריה,1976,1
טבריה,1979,3
טבריה,1983,1
טבריה,1987,2
טבריה,1991,1
טבריה,1992,1
טבריה,1993,2
טבריה,1997,1
טבריה,1998,2
טבריה,2000,4
טבריה,2001,2
טבריה,2002,1
טבריה,2005,1
טבריה,2007,2
טבריה,2010,1
טבריה,2015,1
טבריה,2018,3
טהראן,0,1
טהראן,1990,1
טהראן,2012,1
טול כרם,0,2
טוקיו,0,5
טוקיו,1968,3
טוקיו,1974,1
טוקיו,1975,1
טוקיו,1978,1
טוקיו,1985,2
טוקיו,1987,1
טוקיו,1991,2
טוקיו,1993,1
טוקיו,2000,1
טוקיו,2007,1
טוקיו,2011,2
טוקיו,2015,2
טוקיו,2018,1
טורקיה,0,12
טורקיה,1967,1
טורקיה,1995,1
טורקיה,1998,1
טיוואן,0,3
טירה,1971,2
טירה,1983,1
טירה,1991,1
טירה,2003,1
טנזניה,1950,1
טנזניה,1969,1
טנזניה,1971,1
טנזניה,1998,1
טנסי,0,1
טנסי,2008,1
טנסי,2014,1
טקסס,0,3
טקסס,1990,2
טקסס,1992,1
טקסס,1996,1
טקסס,2007,2
טקסס,2019,1
טרבלינקה,0,2
טרבלינקה,1984,1
טרבלינקה,1988,1
טרבלינקה,1993,1
יבנה,0,26
יבנה,1955,1
יבנה,1960,3
יבנה,1980,1
יבנה,1994,2
יבנה,1995,2
יבנה,1997,4
יבנה,2000,1
יבנה,2002,1
יבנה,2007,10
יגור,0,2
יגור,1962,2
יגור,1990,2
יהוד,0,3
יהודה,2007,1
יוגוסלוויה,1968,1
יוגוסלוויה,1979,2
יוון,0,38
יוון,1949,1
יוון,1950,1
יוון,1951,1
יוון,1959,4
יוון,1965,1
יוון,1970,2
יוון,1971,1
יוון,1978,1
יוון,1987,1
יוון,1988,1
יוון,1991,1
יוון,1992,3
יוון,1993,2
יוון,1995,1
יוון,1997,2
יוון,1998,2
יוון,1999,1
יוון,2000,4
יוון,2003,3
יוון,2004,2
יוון,2005,1
יוון,2007,1
יוון,2008,1
יוון,2010,3
יוון,2011,2
יוון,2012,1
יוון,2014,1
יוון,2015,3
יוון,2016,3
יוון,2017,3
יוטבתה,0,1
יוטבתה,2002,1
יוטה,0,1
יוסטון,0,3
יוסטון,2013,1
יוסטון,2016,2
יטבתה,0,1
יטבתה,2002,1
ים המלח,1956,1
ים המלח,1977,1
ים המלח,2000,2
ים המלח,2015,1
יפאן,0,2
יפאן,2000,1
יפאן,2012,1
יפו,0,83
יפו,1949,1
יפו,1958,3
יפו,1959,6
יפו,1960,2
יפו,1961,2
יפו,1963,2
יפו,1965,2
יפו,1966,5
יפו,1967,3
יפו,1968,4
יפו,1969,1
יפו,1970,2
יפו,1971,3
יפו,1974,1
יפו,1975,4
יפו,1977,3
יפו,1978,2
יפו,1980,1
יפו,1981,3
יפו,1982,2
יפו,1984,1
יפו,1985,1
יפו,1987,1
יפו,1988,3
יפו,1989,2
יפו,1990,2
יפו,1991,2
יפו,1992,2
יפו,1993,5
יפו,1994,4
יפו,1996,2
יפו,1997,1
יפו,1998,1
יפו,1999,3
יפו,2000,7
יפו,2001,4
יפו,2003,5
יפו,2005,1
יפו,2006,1
יפו,2007,3
יפו,2008,3
יפו,2009,2
יפו,2010,3
יפו,2011,1
יפו,2012,2
יפו,2013,5
יפו,2014,1
יפו,2015,10
יפו,2016,4
יפו,2017,2
יפו,2018,1
יפן,0,38
יפן,1949,1
יפן,1950,1
יפן,1951,1
יפן,1954,1
יפן,1968,3
יפן,1973,1
יפן,1975,5
יפן,1981,3
יפן,1985,1
יפן,1986,1
יפן,1992,1
יפן,1993,1
יפן,1995,2
יפן,1998,3
יפן,2000,5
יפן,2001,4
יפן,2002,1
יפן,2003,2
יפן,2004,2
יפן,2006,1
יפן,2007,4
יפן,2008,2
יפן,2009,1
יפן,2010,1
יפן,2011,1
יפן,2012,1
ירדן,0,71
ירדן,1947,2
ירדן,1950,2
ירדן,1955,1
ירדן,1957,1
ירדן,1959,1
ירדן,1960,1
ירדן,1961,1
ירדן,1962,5
ירדן,1963,2
ירדן,1964,1
ירדן,1965,1
ירדן,1967,11
ירדן,1968,6
ירדן,1969,8
ירדן,1970,7
ירדן,1971,8
ירדן,1972,7
ירדן,1973,7
ירדן,1974,2
ירדן,1975,5
ירדן,1976,5
ירדן,1977,4
ירדן,1978,2
ירדן,1980,1
ירדן,1981,3
ירדן,1982,1
ירדן,1983,1
ירדן,1986,1
ירדן,1987,1
ירדן,1990,1
ירדן,1992,1
ירדן,1993,1
ירדן,1994,1
ירדן,1996,2
ירדן,1997,1
ירדן,1998,8
ירדן,1999,3
ירדן,2000,10
ירדן,2001,1
ירדן,2002,1
ירדן,2003,4
ירדן,2004,2
ירדן,2005,2
ירדן,2006,3
ירדן,2007,1
ירדן,2008,3
ירדן,2010,4
ירדן,2011,6
ירדן,2012,4
ירדן,2013,2
ירדן,2016,1
ירדן,2018,1
ירוחם,0,2
ירוחם,1985,1
ירוחם,1988,3
ירוחם,1991,1
ירוחם,1994,2
ירוחם,1997,1
ירוחם,2000,1
ירוחם,2005,1
ירוחם,2007,1
ירוחם,2009,1
ירושלים,0,284
ירושלים,1,1
ירושלים,1934,1
ירושלים,1947,1
ירושלים,1948,1
ירושלים,1950,3
ירושלים,1952,2
ירושלים,1953,2
ירושלים,1954,2
ירושלים,1955,5
ירושלים,1956,4
ירושלים,1957,2
ירושלים,1958,5
ירושלים,1959,1
ירושלים,1960,11
ירושלים,1961,2
ירושלים,1962,4
ירושלים,1963,2
ירושלים,1964,2
ירושלים,1965,3
ירושלים,1966,6
ירושלים,1967,28
ירושלים,1968,22
ירושלים,1969,18
ירושלים,1970,17
ירושלים,1971,8
ירושלים,1972,10
ירושלים,1973,25
ירושלים,1974,11
ירושלים,1975,14
ירושלים,1976,8
ירושלים,1977,5
ירושלים,1978,9
ירושלים,1979,2
ירושלים,1980,2
ירושלים,1981,4
ירושלים,1982,4
ירושלים,1983,3
ירושלים,1984,1
ירושלים,1985,3
ירושלים,1986,1
ירושלים,1987,2
ירושלים,1988,4
ירושלים,1990,4
ירושלים,1991,7
ירושלים,1992,13
ירושלים,1993,3
ירושלים,1994,3
ירושלים,1995,3
ירושלים,1996,4
ירושלים,1997,7
ירושלים,1998,15
ירושלים,1999,18
ירושלים,2000,31
ירושלים,2001,7
ירושלים,2002,6
ירושלים,2003,18
ירושלים,2004,14
ירושלים,2005,3
ירושלים,2006,11
ירושלים,2007,7
ירושלים,2008,20
ירושלים,2009,7
ירושלים,2010,15
ירושלים,2011,5
ירושלים,2012,7
ירושלים,2013,9
ירושלים,2014,6
ירושלים,2015,21
ירושלים,2016,9
ירושלים,2017,8
ירושלים,2018,5
ירושלים,2019,2
יריחו,0,20
יריחו,1950,2
יריחו,1960,3
יריחו,1961,1
יריחו,1962,1
יריחו,1964,1
יריחו,1967,20
יריחו,1968,8
יריחו,1970,3
יריחו,1971,1
יריחו,1972,3
יריחו,1973,5
יריחו,1976,2
יריחו,1978,2
יריחו,1980,2
יריחו,1981,2
יריחו,1985,1
יריחו,1987,1
יריחו,1989,1
יריחו,1991,2
יריחו,1992,1
יריחו,1996,1
יריחו,1997,1
יריחו,1998,2
יריחו,1999,3
יריחו,2000,9
יריחו,2001,2
יריחו,2003,3
יריחו,2004,1
יריחו,2005,1
יריחו,2007,2
יריחו,2008,4
יריחו,2010,4
יריחו,2012,1
יריחו,2013,1
יריחו,2015,5
יריחו,2017,1
ירקון,0,23
ירקון,1960,1
ירקון,1965,1
ירקון,1966,1
ירקון,1968,2
ירקון,1975,1
ירקון,1976,1
ירקון,1978,3
ירקון,1980,2
ירקון,1988,1
ירקון,1989,5
ירקון,1991,3
ירקון,1996,1
ירקון,1998,1
ירקון,2000,3
ירקון,2004,1
ירקון,2005,2
ירקון,2006,1
ירקון,2008,3
ירקון,2009,1
ירקון,2010,2
ירקון,2012,1
ירקון,2015,1
ירקון,2018,1
כווית,0,2
כווית,1967,1
כווית,1969,1
כווית,1997,1
כווית,2003,1
כוכב יאיר,1997,1
כוכב יאיר,1998,1
כינרת,0,81
כינרת,1934,2
כינרת,1947,3
כינרת,1948,1
כינרת,1949,1
כינרת,1950,2
כינרת,1955,1
כינרת,1957,2
כינרת,1958,1
כינרת,1959,1
כינרת,1960,5
כינרת,1962,5
כינרת,1963,1
כינרת,1964,1
כינרת,1965,1
כינרת,1967,6
כינרת,1968,13
כינרת,1969,1
כינרת,1970,5
כינרת,1971,5
כינרת,1972,5
כינרת,1973,5
כינרת,1974,1
כינרת,1976,2
כינרת,1977,4
כינרת,1979,3
כינרת,1980,3
כינרת,1981,4
כינרת,1983,1
כינרת,1984,2
כינרת,1985,3
כינרת,1986,1
כינרת,1987,3
כינרת,1988,2
כינרת,1990,3
כינרת,1992,2
כינרת,1994,3
כינרת,1995,1
כינרת,1996,1
כינרת,1997,5
כינרת,1998,2
כינרת,1999,3
כינרת,2000,11
כינרת,2001,2
כינרת,2003,4
כינרת,2004,1
כינרת,2005,1
כינרת,2006,3
כינרת,2008,4
כינרת,2010,4
כינרת,2011,2
כינרת,2012,1
כינרת,2013,4
כינרת,2014,3
כינרת,2015,3
כינרת,2016,4
כינרת,2017,2
כינרת,2019,1
כלא השרון,2014,1
כלכותה,0,3
כלכותה,1950,1
כלכותה,1963,1
כלכותה,1969,1
כלכותה,1971,1
כפר סבא,0,8
כפר סבא,1959,1
כפר סבא,1960,2
כפר סבא,1962,1
כפר סבא,1963,1
כפר סבא,1964,1
כפר סבא,1965,1
כפר סבא,1966,1
כפר סבא,1973,1
כפר סבא,1975,2
כפר סבא,1980,2
כפר סבא,1983,1
כפר סבא,1985,1
כפר סבא,1994,1
כפר סבא,1996,1
כפר סבא,1999,2
כפר סבא,2000,2
כפר סבא,2003,9
כפר סבא,2005,1
כפר סבא,2007,1
כפר סבא,2008,1
כפר סבא,2009,1
כפר סבא,2010,2
כפר סבא,2015,1
כפר סבא,2016,1
כפר שמריהו,1973,1
כפר שמריהו,1991,1
כפר שמריהו,2003,3
כפר שמריהו,2013,1
כפר תבור,1966,1
כפר תבור,1972,1
כפר תבור,1995,1
כפר תבור,2000,1
כפר תבור,2008,1
כרכור,0,3
כרכור,1981,1
כרכור,1984,1
כרכור,2003,1
כרכור,2004,1
כרכור,2013,1
כרמיאל,0,14
כרמיאל,1960,1
כרמיאל,1973,1
כרמיאל,2015,1
כרמל,0,38
כרמל,1955,4
כרמל,1956,2
כרמל,1957,1
כרמל,1958,1
כרמל,1959,2
כרמל,1962,1
כרמל,1968,2
כרמל,1970,2
כרמל,1971,2
כרמל,1973,2
כרמל,1974,5
כרמל,1975,3
כרמל,1976,1
כרמל,1977,1
כרמל,1978,1
כרמל,1979,1
כרמל,1980,1
כרמל,1981,1
כרמל,1982,1
כרמל,1983,1
כרמל,1986,1
כרמל,1988,2
כרמל,1989,1
כרמל,1992,1
כרמל,1996,1
כרמל,1997,1
כרמל,1998,2
כרמל,2000,5
כרמל,2003,1
כרמל,2006,1
כרמל,2007,2
כרמל,2010,1
כרמל,2011,2
כרמל,2012,1
כרמל,2015,3
כרמל,2016,1
כרמל,2017,1
לבנון,0,24
לבנון,1941,1
לבנון,1953,2
לבנון,1955,1
לבנון,1957,1
לבנון,1959,1
לבנון,1960,1
לבנון,1964,3
לבנון,1967,1
לבנון,1981,1
לבנון,1985,1
לבנון,1986,6
לבנון,1988,1
לבנון,1990,1
לבנון,1996,1
לבנון,1998,3
לבנון,1999,2
לבנון,2000,4
לבנון,2001,2
לבנון,2002,2
לבנון,2003,4
לבנון,2004,1
לבנון,2009,1
לבנון,2011,3
לבנון,2012,2
לבנון,2013,1
לבנון,2017,2
להבים,1971,3
לואיזיאנה,0,1
לוב,1964,1
לוב,1983,1
לוב,1992,2
לוב,2011,1
לוד,0,14
לוד,1967,1
לוד,1969,1
לוד,1972,1
לוד,1973,1
לוד,1976,1
לוד,1992,1
לוד,1995,1
לוד,2000,2
לוד,2001,1
לוד,2004,1
לוד,2005,1
לוד,2008,1
לוד,2010,1
לוד,2013,1
לוד,2016,1
לוד,2017,2
לונדון,0,21
לונדון,1966,1
לונדון,1969,1
לונדון,1974,2
לונדון,1976,2
לונדון,1978,1
לונדון,1982,5
לונדון,1987,3
לונדון,1989,1
לונדון,1990,1
לונדון,1992,1
לונדון,1993,1
לונדון,1994,1
לונדון,1998,2
לונדון,2000,5
לונדון,2002,2
לונדון,2005,1
לונדון,2007,1
לונדון,2008,2
לונדון,2009,3
לונדון,2010,1
לונדון,2012,2
לונדון,2014,1
לונדון,2015,1
לונדון,2016,1
לונדון,2018,3
ליון,0,5
ליון,1994,1
ליון,1998,1
ליון,2000,1
ליון,2015,1
ליטא,0,2
ליטא,1957,1
ליטא,1962,1
ליטא,1965,1
ליטא,1968,1
ליטא,1976,2
ליטא,1992,1
ליטא,2000,1
ליטא,2003,1
ליטא,2015,1
ליסבון,0,1
ליסבון,2016,1
לכיש,0,2
לכיש,1956,1
לכיש,1957,1
לכיש,1958,2
לכיש,1960,1
לכיש,1967,1
לכיש,1973,1
לכיש,1974,1
לכיש,2004,1
לכיש,2008,1
לכיש,2010,1
מאדים,0,19
מאדים,1968,2
מאדים,1983,2
מאדים,1993,2
מאדים,1994,1
מאדים,1999,1
מאדים,2000,2
מאדים,2007,1
מאדים,2010,2
מאדים,2015,1
מאדים,2016,1
מאדים,2018,1
מבשרת ציון,2006,1
מבשרת ציון,2007,1
מדגסקר,1950,1
מדגסקר,1969,1
מדגסקר,1971,2
מדגסקר,2000,2
מדגסקר,2001,1
מדגסקר,2007,1
מדריד,0,5
מדריד,1966,2
מדריד,1987,1
מדריד,1993,2
מדריד,1998,1
מדריד,2000,1
מדריד,2007,1
מדריד,2011,2
מדריד,2015,2
מדריד,2017,1
מודיעין,0,4
מודיעין,1952,1
מודיעין,1956,2
מודיעין,1958,1
מודיעין,1960,1
מודיעין,1990,1
מודיעין,1992,2
מודיעין,2000,1
מוזמביק,1958,2
מוזמביק,1961,1
מוזמביק,2010,1
מונטה קרלו,0,1
מונטה קרלו,1999,1
מונטריאול,0,4
מונטריאול,2002,1
מונטריאול,2015,1
מוסקבה,0,19
מוסקבה,1967,1
מוסקבה,1973,2
מוסקבה,1975,4
מוסקבה,1991,1
מוסקבה,1992,2
מוסקבה,1995,2
מוסקבה,2000,1
מוסקבה,2010,1
מוסקבה,2012,1
מוסקבה,2015,1
מטולה,0,18
מטולה,1960,1
מטולה,1962,1
מטולה,1963,2
מטולה,1965,2
מטולה,1968,2
מטולה,1973,1
מטולה,1976,1
מטולה,1979,1
מטולה,1981,3
מטולה,1984,1
מטולה,1990,1
מטולה,1991,4
מטולה,1992,2
מטולה,1995,1
מטולה,1996,1
מטולה,1997,1
מטולה,1998,3
מטולה,2000,6
מטולה,2001,1
מטולה,2002,2
מטולה,2004,1
מטולה,2007,3
מטולה,2009,2
מטולה,2010,1
מטולה,2014,1
מיאמי,0,22
מיאמי,1990,1
מיאמי,1992,2
מיאמי,1995,1
מיאמי,2000,6
מיאמי,2002,2
מיאמי,2004,1
מיאמי,2009,1
מיאמי,2012,1
מיאמי,2014,1
מיאמי,2015,1
מיאמי,2016,1
מיאמי,2017,3
מילאנו,0,8
מילאנו,1997,2
מילאנו,2012,1
מילאנו,2015,1
מילאנו,2017,1
מילווקי,1997,1
מינכן,1998,1
מינסוטה,0,2
מינסק,0,1
מינסק,1966,2
מינסק,1968,1
מינסק,1992,2
מישיגן,0,3
מישיגן,1972,1
מישיגן,1983,1
מכה,0,3
מכה,1969,1
מכה,1997,1
מכה,2000,2
מכה,2001,1
מכה,2003,1
מכה,2015,1
מלזיה,0,1
מלזיה,1950,1
מלזיה,1969,1
מלזיה,1971,1
מלטה,0,3
מלטה,2001,1
מנהטן,0,11
מנהטן,1968,1
מנהטן,1980,1
מנהטן,1982,3
מנהטן,1990,2
מנהטן,1992,1
מנהטן,1998,1
מנהטן,2000,5
מנהטן,2002,2
מנהטן,2007,2
מנהטן,2011,1
מנהטן,2012,1
מנהטן,2013,1
מנהטן,2015,2
מנהטן,2016,1
מנחמיה,0,1
מנחמיה,2004,1
מנחמיה,2017,1
מסצוסטס,0,2
מצדה,1956,1
מצדה,2000,1
מצדה,2004,1
מצפה רמון,0,3
מצפה רמון,1968,1
מצפה רמון,2001,1
מצפה רמון,2016,2
מצפה רמון,2017,1
מצרים,0,16
מצרים,1961,1
מצרים,1964,1
מצרים,1967,3
מצרים,1968,1
מצרים,1969,5
מצרים,1973,1
מצרים,1981,2
מצרים,1985,2
מצרים,1990,2
מצרים,1996,2
מצרים,1997,1
מצרים,1998,1
מצרים,1999,1
מצרים,2000,1
מצרים,2004,1
מצרים,2005,3
מצרים,2012,2
מצרים,2014,1
מקסיקו,0,13
מקסיקו,1999,2
מקסיקו,2008,1
מקסיקו,2014,1
מקסיקו,2015,1
מקסיקו,2016,1
מקסיקו,2017,1
מרוקו,0,22
מרוקו,1960,2
מרוקו,1967,1
מרוקו,1982,2
מרוקו,1985,2
מרוקו,1988,1
מרוקו,1989,2
מרוקו,1992,1
מרוקו,1994,1
מרוקו,1997,2
מרוקו,1998,1
מרוקו,2000,1
מרוקו,2003,2
מרוקו,2004,2
מרוקו,2006,1
מרוקו,2007,1
מרוקו,2008,1
מרוקו,2011,1
מרוקו,2015,1
מרוקו,2016,2
נאפולי,1988,1
נגב,0,54
נגב,1934,1
נגב,1947,3
נגב,1949,2
נגב,1950,1
נגב,1952,2
נגב,1954,1
נגב,1955,4
נגב,1957,3
נגב,1958,7
נגב,1959,2
נגב,1960,9
נגב,1962,2
נגב,1963,3
נגב,1964,1
נגב,1965,1
נגב,1966,1
נגב,1967,3
נגב,1968,3
נגב,1969,2
נגב,1971,1
נגב,1972,2
נגב,1973,1
נגב,1974,2
נגב,1976,1
